,,,,,,,,,,,,SAMPLE,SEX,AGE,,,,,REPORTING STANDARDS,,,,,,,,,,,,,,,,TRANSFORMATION,,,,,,,,,,,,,,,,,
Scheveneels S and Boddez Y and Vervliet B and Hermans D,2019,10.1016/j.beth.2019.03.001,Modeling Hierarchical Versus Random Exposure Schedules in Pavlovian Fear Extinction: No Evidence for Differential Fear Outcomes.,Behavior therapy,https://pubmed.ncbi.nlm.nih.gov/31422851/,"Female;Humans;Galvanic Skin Response;Male;Adult;Conditioning, Classical/*physiology;Fear/*physiology;Attention/*physiology;Extinction, Psychological/*physiology;Implosive Therapy;Generalization, Psychological/physiology;Generalization, Stimulus/*physiology",no,no,no,no,CD,64,53,22.31,6.04,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,Greenhouse-Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"rc, sqrt",NA,NA,NA,SCR amplitudes were range-corrected with each participant's largest unconditioned response measured during US present trials; then sqrt,yes,"ref (Lykken & Venables, 1971; Dawson et al., 2000)",not reported,mixed,2,ANOVA,rmANOVA,11,
Schipper P and Hiemstra M and Bosch K and Nieuwenhuis D and Adinolfi A and Glotzbach S and Borghans B and Lopresto D and Fernández G and Klumpers F and Hermans EJ and Roelofs K and Henckens MJAG and Homberg JR,2019,10.1073/pnas.1904843116,The association between serotonin transporter availability and the neural correlates of fear bradycardia.,Proceedings of the National Academy of Sciences of the United States of America,https://pubmed.ncbi.nlm.nih.gov/31772023/,"Humans;Male;Animals;Adult;Magnetic Resonance Imaging;Rats;Genotype;Bradycardia;Fear/*physiology;Rats, Transgenic;Serotonin Plasma Membrane Transport Proteins;Stress, Psychological/*metabolism;*Serotonin Plasma Membrane Transport Proteins/genetics/metabolism;Bradycardia/*metabolism;Brain/diagnostic imaging/metabolism/physiology;Freezing Reaction, Cataleptic/*physiology",yes,no,no,no,CD,104,0,21.9,2.5,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mixed,2,t-test,ttest,11,only Exp. 1 with humans; see Suppl. Information for descriptives and HR methods
Staib M and Abivardi A and Bach DR,2020,10.1002/hbm.24846,Primary auditory cortex representation of fear-conditioned musical sounds.,Human brain mapping,https://pubmed.ncbi.nlm.nih.gov/31663229/,"Female;Humans;Male;Adult;Young Adult;Magnetic Resonance Imaging;Auditory Cortex;Conditioning, Classical/*physiology;Fear/*physiology;*Brain Mapping;Auditory Perception/*physiology;Auditory Cortex/*physiology;*Music;Music",no,no,no,no,CD,42,25,23.55,NA,unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,z,NA,NA,NA,SCR: estimated sympathetic arousal for each participant was z-scored across all trials,yes,"ref (Staib et al., 2015; Staib & Bach, 2018)",trial-level,within,2,ANOVA,rmANOVA,11,two participant samples (beh + fMRI)
Sjouwerman R and Lonsdorf TB,2020,10.1111/psyp.13549,Experimental boundary conditions of reinstatement-induced return of fear in humans: Is reinstatement in humans what we think it is?,Psychophysiology,https://pubmed.ncbi.nlm.nih.gov/32072648/,"Female;Humans;Male;Adolescent;Adult;Young Adult;Electric Stimulation;Conditioning, Classical/*physiology;Fear/*physiology;Humanism;Humanities;Extinction, Psychological/physiology;Habituation, Psychophysiologic/physiology;Galvanic Skin Response/*physiology;Reflex, Startle/*physiology;Visual Perception/physiology;Auditory Perception/*physiology",yes,no,no,no,CD,189,134,25,4,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,"z, t","log, rc",NA,NA,NA,"SCR: log-transformed and range corrected for the max SCR toward any stimuli; startle EMG: T-transformed values obtained from raw startle responses using the formula T=(Zx10)+50, where Z refers to z-scores as defined by the formula Z=(X-mu)/sigma, where X is the raw amplitude of startle response per trial, mu is the mean raw amplitude over all trials per subject, and sigma is the SD of all raw amplitudes per subject ",yes,"ref (SCR: Lykken, 1972)",trial-level,within,"2 (SCR), 3 (startle EMG)",ANOVA,rmANOVA,11,
Sjouwerman R and Scharfenort R and Lonsdorf TB,2020,10.1038/s41598-020-72007-5,"Individual differences in fear acquisition: multivariate analyses of different emotional negativity scales, physiological responding, subjective measures, and neural activation.",Scientific reports,https://pubmed.ncbi.nlm.nih.gov/32943701/,"Female;Humans;Male;Adult;Multivariate Analysis;Uncertainty;Fear/*physiology;Galvanic Skin Response/physiology;Extinction, Psychological/*physiology;Conditioning, Classical/physiology;*Individuality;Reflex, Startle/physiology;Emotions/*physiology;Brain/*physiology;Learning/physiology;Magnetic Resonance Imaging/methods;Anxiety Disorders/physiopathology",no,no,no,no,CD,124,NA,NA,NA,yes,both,STAI-T,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"log, rc",NA,NA,NA,SCR: log-transformed and range corrected by division through an individual's max response amplitude (either CS or US),yes,"ref (Venables & Christie, 1980; Lykken & Venables, 1971)",trial-level,within,2,t-test,ttest,11,"Study 1 novel data, Study 2 re-analysis -> ONLY STUDY 2 EXTRACTED HERE! No main effect of acq in Study 1. t-test not reported in analysis section, only in Results"
Toumbelekis M and Liddell BJ and Bryant RA,2021,10.1002/da.23166,Secure attachment primes reduce fear consolidation.,Depression and anxiety,https://pubmed.ncbi.nlm.nih.gov/33949748/,"Humans;Extinction, Psychological;Fear;Anxiety Disorders;Anxiety;*Conditioning, Classical;*Reflex, Startle",yes,no,no,no,CD,118,59,22,4.19,partially,both,Experiences in  Close Relationships (ECR),not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,yes,trials,> 3 SD,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,within,4,ANOVA,rmANOVA,11,
Toumbelekis M and Liddell BJ and Bryant RA,2021,10.1038/s41398-021-01715-x,Secure attachment priming protects against relapse of fear in Young adults.,Translational psychiatry,https://pubmed.ncbi.nlm.nih.gov/34775464/,"Humans;Young Adult;Conditioning, Classical;Reflex, Startle;Recurrence;*Extinction, Psychological;*Fear",no,no,no,no,CD,124,86,19.82,3.13,partially,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,NA,mixed,4,ANOVA,rmANOVA,11,no mention of data transformation even on Suppl. Materials
Spohrs J and Prost M and Ulrich M and Plener PL and Bindila L and Abler B,2022,10.1016/j.biopsycho.2022.108281,Endocannabinoid system reactivity during stress processing in healthy humans.,Biological psychology,https://pubmed.ncbi.nlm.nih.gov/35090896/,Humans;Male;Humanism;Humanities;Anxiety/psychology;*Fear/physiology;*Endocannabinoids,no,no,no,no,CD,22,0,22.68,2.9,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,NA,within,2,t-test,ttest,11,"unclear statistical test, should be t-test but Stimuli has three levels"
van Ast VA and Klumpers F and Grasman RPPP and Krypotos AM and Roelofs K,2022,10.1111/psyp.13983,Postural freezing relates to startle potentiation in a human fear-conditioning paradigm.,Psychophysiology,https://pubmed.ncbi.nlm.nih.gov/34954858/,"Humans;Animals;Generalization, Psychological;Freezing;Humanism;Humanities;Fear/physiology;Posture;*Conditioning, Classical/physiology;*Reflex, Startle/physiology",no,no,no,no,CD,30,NA,NA,NA,yes,group,NA,not reported,NA,not reported,not reported,NA,not reported,Greenhouse-Geisser,not reported,NA,not reported,NA,not reported,NA,yes,trials,Z > 3 (only startle EMG),raw,NA,NA,raw,raw,NA,NA,NA,NA,no,NA,not reported,within,12,ANOVA,rmANOVA,11,"n = 28; startle EMG only sqrt transformed in the multilevel modelling, not rmANOVA"
Kurayama T and Matsuzawa D and Hirano Y and Shimizu E,2019,10.1097/WNR.0000000000001221,Insensitivity of auditory mismatch negativity to classical fear conditioning and extinction in healthy humans.,Neuroreport,https://pubmed.ncbi.nlm.nih.gov/30817683/,"Female;Humans;Male;Adult;Electroencephalography;Conditioning, Classical/*physiology;Fear/*physiology;Extinction, Psychological/*physiology;Humanism;Humanities;Brain/*physiology",no,no,no,no,CD,20,11,28.9,5.4,yes,group,NA,not reported,NA,not reported,not reported,NA,not reported,Greenhouse-Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,NA,NA,within,2,ANOVA,rmANOVA,11,"no mention of data transformation, only two lines dedicated to SCL"
