"Author","year","doi","title","journal","url","keywords","open data (yes, no)","open code (yes, no)","open material (yes, no)","preregistration yes/no","longitudinal design (LD), cross-sectional design (CD), unclear","n_with_exclusions","n_female_total","age_mean_total","age_sd_total","mental health disorder exclusion (yes, no, unclear, not reported, only control group, partially)","Was an individual level analysis conducted in the study? group/ individual level analysis, both","If an individual level analysis was conducted in the study, what was the variable of interest? (e.g. sex/ gender, STAI, IUS, BDI, multiple)","Was the normal distribution checked? answers: dependent variable, independent variable, residuals, mixed, not reported","If yes, how? (e.g., specific test or visually), if no: NA","If yes, was the normal distribution tested before or after transformation procedure? answers: before, after, both, not reported. if no: NA","Was the homoscedasticity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...24","Was the sphericity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...26","Was the independence of residuals checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...28","Was the linearity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...30","Was the multicollinearity checked? answers: yes, not reported","If yes, how?   (e.g., specific test or visually), if no: NA","outlier removal reported? yes, no (this refers to quantitative measures such as +/-3SD and not qualitative ones (artifacts, zero responses)","outlier refer to: subjects, trials, both, NA, not reported","outlier criterion (e.g., +/- 2SD; this refers to quantitative measures such as +/-2SD and not qualitative ones (artifacts, zero responses)","HR (BPM)","HRV","EMG orbicularis oculi","EMG startle","SCR","SCL","EYE tracking","PUPIL SIZE","specification of data transformation method (e.g. range correction formula), not reported (if there are multiple different specifications for multiple outcome measures, extract them all)","is there a rationale for specific data transformation procedure (e.g. guideline)? yes/ no","which rationale? (e.g. guideline/ ref/ not reported)","was the transformation applied (AND EXPLICITELY STATED IN THE METHODS SECTION) on trial level or on an average-level (across trials)/ other/ or not reported (if this is done differently for various outcome measures, indicate it)","Stastistical model: within, between or mixed design? (e.g., paired t-test = within, independent t-test = between)","If within or mixed: how many within factor levels (of largest within factor)? (e.g., two different CS stimuli = two within factors)","Main statistical test: t-test, AN(C)OVA, correlation, regression, mixed model, other (ask Perplexity.ai with copy pasting info from the method section)","Main statistical test: further specification (e.g., non-parametric test), if ANCOVA: centered covariate?, if mixed model: paste formula here, of other: name of test (e.g. chi-squared, MANOVA)","reviewer_ID","comment","...54","...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53"
"Castegnetti G and Tzovara A and Staib M and Gerster S and Bach DR","2017","10.1111/psyp.12778","Assessing fear learning via conditioned respiratory amplitude responses.","Psychophysiology","https://pubmed.ncbi.nlm.nih.gov/27933608/","Female;Humans;Galvanic Skin Response;Heart Rate;Male;Models, Psychological;Adolescent;Adult;Models, Biological;Young Adult;Conditioning, Classical/*physiology;Fear/*physiology;Extinction, Psychological/physiology;Psychophysics/methods;*Respiration","no","no","no","no","CD","122","66","5 different samples, information given for each sample; Question: Should the calculated mean be the simple mean or the weighted mean?","5 different samples, information given for each sample; Question: Should the calculated mean be the simple mean or the weighted mean?","unclear","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,"not reported",NA,NA,NA,"not reported",NA,NA,NA,"For statistical analysis of the HPR, we used a general linear convolution model with a heart period response function derived from Experiment 1 (Castegnetti et al., 2016). For SCR analysis, we used the default nonlinear model with a conditioned response window during the entire CS/US interval, as implemented in PsPM 3.0 (http://pspm.sourceforge.net, Bach, Daunizeau, Friston, & Dolan, 2010; Staib et al. 2015).",NA,NA,NA,"within",NA,"general linear model",NA,"15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dunsmoor JE and Kroes MCW and Braren SH and Phelps EA","2017","10.1037/bne0000186","Threat intensity widens fear generalization gradients.","Behavioral neuroscience","https://pubmed.ncbi.nlm.nih.gov/28221081/","Female;Humans;Galvanic Skin Response;Male;Adult;Young Adult;Electroshock;*Fear;*Conditioning, Classical;*Generalization, Response","no","no","no","no","CD","43",NA,NA,NA,"unclear","group",NA,"not reported",NA,NA,"not reported",NA,"yes","not reported","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt",NA,NA,NA,"Raw SCR scores were square-roottransformed
prior to statistical analysis to normalize the distribution","yes, at least literature","Lykken & Venables, 1971","not reported","mixed","2","ANOVA","rmANOVA","15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burger AM and Verkuil B and Fenlon H and Thijs L and Cools L and Miller HC and Vervliet B and Van Diest I","2017","10.1016/j.brat.2017.07.005","Mixed evidence for the potential of non-invasive transcutaneous vagal nerve stimulation to improve the extinction and retention of fear.","Behaviour research and therapy","https://pubmed.ncbi.nlm.nih.gov/28719827/","Female;Humans;Male;Adult;Young Adult;Fear/*physiology;Galvanic Skin Response/physiology;Extinction, Psychological/*physiology;Memory/*physiology;Reflex, Startle/physiology;Conditioning, Psychological/*physiology;*Transcutaneous Electric Nerve Stimulation;*Vagus Nerve Stimulation","no","no","no","no","CD","42","26",NA,NA,"unclear","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,"probably raw","t","t","log",NA,NA,NA,"Skin conductance responses were log transformed to reduce skewness of the data. EMG startle: Non-rejected startle responses were averaged per trial and subsequently standardized into T-scores for every individual.","at leat for EMG reference given","Blumenthal et al., 2005","SCR: unclear; EMG: after averaging","mixed","12","multilevel mixed model","other","15","Startle was measured at orbicularis oculi -> both columns are filled out",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Culver NC and Stevens S and Fanselow MS and Craske MG","2018","10.1016/j.jbtep.2017.07.003","Building physiological toughness: Some aversive events during extinction may attenuate return of fear.","Journal of behavior therapy and experimental psychiatry","https://pubmed.ncbi.nlm.nih.gov/28777975/","Female;Humans;Male;Adolescent;Fear;Adult;Young Adult;Conditioning, Classical/*physiology;Fear/*physiology;Recurrence;*Extinction, Psychological;Galvanic Skin Response/*physiology;Implosive Therapy/methods;Phobic Disorders/therapy","no","no","no","no","CD","39","30","19.2",NA,"unclear","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"rc, sqrt",NA,NA,NA,"Amplitudes were range corrected using each  participant's largest response elicited by the
US (calculated as the difference between maximum SCL within 1-6 s following US-onset and mean SCL within 2-s prior to CSonset).
For each participant, all SCRs to CSs were divided by maximum SCR to the US; then, square root transformed to normalize the distribution.",NA,NA,"trial-level ","mixed","8","hierarchical linear modeling","other","15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davidson P and Carlsson I and Jönsson P and Johansson M","2018","10.1016/j.nlm.2018.03.005","A more generalized fear response after a daytime nap.","Neurobiology of learning and memory","https://pubmed.ncbi.nlm.nih.gov/29551602/","Female;Humans;Time Factors;Galvanic Skin Response;Male;Adult;Young Adult;Conditioning, Classical;Fear/*physiology;Electroshock;Wakefulness;Learning/*physiology;Generalization, Psychological/*physiology;*Sleep;Memory Consolidation/*physiology","no","no","no","no","CD","52","28",NA,NA,"unclear","both","Worry (PSWQ)","not reported",NA,NA,"not reported",NA,"yes","not reported","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"rc, log",NA,NA,NA,"In order to control for individual differences in responses between participants, the score for each trial was divided with the maximum response for that participant to any of the trials during the current session (acquisition and re-test respectively) (Lykken & Venables, 1971). [...] In order to make data approach a normal distribution, all averaged values were logarithmized (ln). In order to be able to logarithmize responses scored as 0, a constant of 1 was added to all values before logarithmizing.","yes, at least literature","Lykken & Venables, 1971","rc: trial-level; log: averaged values","mixed","4","ANOVA","rmANOVA","15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burger AM and Van Diest I and van der Does W and Hysaj M and Thayer JF and Brosschot JF and Verkuil B","2018","10.1038/s41598-018-29561-w","Transcutaneous vagus nerve stimulation and extinction of prepared fear: A conceptual non-replication.","Scientific reports","https://pubmed.ncbi.nlm.nih.gov/30065275/","Female;Humans;Male;Vagus Nerve;Adult;Young Adult;Fear/*psychology;Extinction, Psychological/*physiology;Conditioning, Classical/physiology;Reflex, Startle/physiology;Learning/physiology;Vagus Nerve/*physiology;Anxiety Disorders/physiopathology;Skin/*physiopathology;Transcutaneous Electric Nerve Stimulation/methods;Vagus Nerve Stimulation/methods","unclear; the paper says ""yes"" and provides an OSF link, but this is the link to the author's OSF profile; there, I could not find the data for this specific article, unfortunately poorly described; there are datasets on similar topics, but these refer to other publications","unclear","no","no","CD","97",NA,NA,NA,"unclear","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,"raw","raw","raw","raw","log",NA,NA,NA,"SCRs were further log transformed to normalize the data distribution.",NA,NA,"not reported","mixed","8","multilevel mixed model","other","15","Startle was measured at orbicularis oculi -> both columns are filled out",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dibbets P and Lemmens A and Voncken M","2018","10.1016/j.jbtep.2018.02.001","Turning negative memories around: Contingency versus devaluation techniques.","Journal of behavior therapy and experimental psychiatry","https://pubmed.ncbi.nlm.nih.gov/29477486/","Female;Humans;Male;Adult;Young Adult;Memory;Conditioning, Classical/*physiology;Fear/*physiology;Extinction, Psychological/physiology;*Reinforcement, Psychology;Galvanic Skin Response/*physiology;Eye Movements/*physiology","no","no","no","no","CD","105","86","21.5","2.58","unclear","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"rc, sqrt",NA,NA,NA,"The data were range corrected by dividing each participant's SCR by her maximum response (Lykken & Venables, 1971), in this experiment the highest US response (largest deflection 900–4000 after US onset). A square root transformation was applied to normalize the distribution (Siddle & Packer, 1987). The corrected SCRs were averaged across two trials.","yes, at least literature","Lykken & Venables, 1971","trial-level ","mixed","4","ANOVA","rmANOVA","15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"de Haan MIC and van Well S and Visser RM and Scholte HS and van Wingen GA and Kindt M","2018","10.1038/s41598-018-32646-1","The influence of acoustic startle probes on fear learning in humans.","Scientific reports","https://pubmed.ncbi.nlm.nih.gov/30267018/","Female;Humans;Male;Adult;Young Adult;Magnetic Resonance Imaging;Conditioning, Classical;Humanism;Humanities;*Fear;Brain/physiology;*Reflex, Startle;*Learning;Pupil/physiology","yes","yes","no","no","CD","26","6","25.2","6.8","unclear","group",NA,"not reported",NA,NA,"not reported",NA,"yes","not reported","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"t","Finally, pupil dilation responses were converted to t-scores within participants.",NA,NA,"within participants","within","2","ANOVA","rmANOVA","15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"de Voogd LD and Kanen JW and Neville DA and Roelofs K and Fernández G and Hermans EJ","2018","10.1523/JNEUROSCI.0703-18.2018","Eye-Movement Intervention Enhances Extinction via Amygdala Deactivation.","The Journal of neuroscience : the official journal of the Society for           Neuroscience","https://pubmed.ncbi.nlm.nih.gov/30181134/","Female;Humans;Galvanic Skin Response;Male;Adult;Amygdala;Young Adult;Brain Mapping;Magnetic Resonance Imaging;Conditioning, Classical;Memory, Short-Term;Eye Movements;Fear/*physiology;Electroshock;Extinction, Psychological/*physiology;*Eye Movements;Amygdala/*physiology;Frontal Lobe/physiology;Neural Pathways/physiology;Goals;Parietal Lobe/physiology","no","no","no","no","CD","24","12","24.8","3.6","unclear","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt",NA,"see comment",NA,"SCR: Reinforced trials were omitted and all other response amplitudes were square-root transformed before statistical analysis.   [...] Eye-tracking data were normalized based on a calibration at the start of the experiment.",NA,NA,"not reported","within","2","ANOVA","rmANOVA","15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drexler SM and Merz CJ and Wolf OT","2018","10.1016/j.beth.2018.03.001","Preextinction Stress Prevents Context-Related Renewal of Fear.","Behavior therapy","https://pubmed.ncbi.nlm.nih.gov/30316481/","Humans;Male;Adolescent;Fear;Adult;Young Adult;Memory/physiology;Conditioning, Classical/physiology;Fear/physiology/*psychology;Photic Stimulation/methods;Implosive Therapy/*methods;*Extinction, Psychological/physiology;Stress Disorders, Post-Traumatic/metabolism/psychology/therapy;Stress, Psychological/metabolism/*psychology/*therapy","no","no","no","no","CD","40","0",NA,NA,"unclear","group",NA,"not reported",NA,NA,"not reported",NA,"yes",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"log",NA,NA,NA,"The datawas transformed with the natural logarithm to attain a normal distribution.",NA,NA,"not reported","mixed","3","ANOVA","rmANOVA","15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chalkia A and Vanaken L and Fonteyne R and Beckers T","2019","10.1038/s41598-019-40827-9","Interfering with emotional processing resources upon associative threat memory reactivation does not affect memory retention.","Scientific reports","https://pubmed.ncbi.nlm.nih.gov/30862869/","Female;Humans;Galvanic Skin Response;Male;Adolescent;Adult;Young Adult;Middle Aged;Task Performance and Analysis;Memory/*physiology;Mental Recall/physiology;Emotions/*physiology;Memory, Short-Term/physiology","yes","no","no","yes","CD","56",NA,NA,NA,"unclear","group",NA,"yes, because nonparametric test was applied when deviated; unclear what exactly was checked","unclear","not reported","not reported",NA,"yes","not reported","not reported",NA,"not reported",NA,"not reported",NA,"yes","not reported","Outliers were determined for each day (Z-score > 3) and replaced by linear trend at point.",NA,NA,"z","z","z",NA,NA,NA,"To standardize the data, means and standard deviations from the first testing session were used to calculate within-participant Z-scores. [...] All responses were kept in the analysis, and SCR data were Z-transformed analogously to FPS responses.",NA,NA,"trial-level: ""After transformation, FPS and SCR responses were averaged over blocks of two trials
and then analyzed ...""","mixed","3","ANOVA","rmANOVA","15","Startle was measured at orbicularis oculi -> both columns are filled out",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dunsmoor JE and Kroes MCW and Li J and Daw ND and Simpson HB and Phelps EA","2019","10.1523/JNEUROSCI.2713-18.2019","Role of Human Ventromedial Prefrontal Cortex in Learning and Recall of Enhanced Extinction.","The Journal of neuroscience : the official journal of the Society for           Neuroscience","https://pubmed.ncbi.nlm.nih.gov/30782974/","Female;Humans;Male;Adolescent;Models, Neurological;Adult;Young Adult;Magnetic Resonance Imaging;Functional Neuroimaging;Prefrontal Cortex;Galvanic Skin Response/physiology;Learning/*physiology;Extinction, Psychological/*physiology;Humanism;Humanities;Fear/physiology;Conditioning, Classical/physiology;Retention, Psychology/physiology;Mental Recall/*physiology;Prefrontal Cortex/diagnostic imaging/*physiology","no","no","no","no","CD","48",NA,NA,NA,"unclear","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"see comment",NA,NA,NA,"Unclear; nothing descriibed, but Figure 1B suggests sqrt??",NA,NA,"unclear, see previous comment","mixed","2","ANOVA","rmANOVA","15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burger AM and Van Diest I and Van der Does W and Korbee JN and Waziri N and Brosschot JF and Verkuil B","2019","10.1016/j.nlm.2019.04.006","The effect of transcutaneous vagus nerve stimulation on fear generalization and subsequent fear extinction.","Neurobiology of learning and memory","https://pubmed.ncbi.nlm.nih.gov/30986531/","Female;Humans;Male;Adolescent;Vagus Nerve;Adult;Young Adult;Conditioning, Classical/*physiology;Fear/*physiology;Extinction, Psychological/*physiology;Heart Rate/physiology;Reflex, Startle/physiology;Vagus Nerve/*physiology;Generalization, Psychological/*physiology;*Transcutaneous Electric Nerve Stimulation","no","no","no","no","CD","62 (in section 2.1, it says ""62"", in section 3.1 ""61""",NA,NA,NA,"unclear","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,"log","see comment","see comment",NA,NA,NA,NA,"Startle EMG: not described, but Figure 4 (bottom) suggests T-standardization; HRV: RMSSD scores were subsequently log transformed to ensure normal distribution of errors in the mixed model analysis.",NA,NA,"not reported","mixed","12","multilevel mixed model","other","15","Startle was measured at orbicularis oculi -> both columns are filled out",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dunsmoor JE and Kroes MCW and Murty VP and Braren SH and Phelps EA","2019","10.1016/j.biopsycho.2019.05.001","Emotional enhancement of memory for neutral information: The complex interplay between arousal, attention, and anticipation.","Biological psychology","https://pubmed.ncbi.nlm.nih.gov/31075362/","Emotions;Female;Humans;Male;Adult;Young Adult;Mental Recall;Arousal;*Emotions;Memory;Healthy Volunteers;*Attention;*Arousal;*Anticipation, Psychological;*Memory, Episodic","no","no","no","no","CD","48",NA,NA,NA,"unclear","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt",NA,NA,NA,"Raw SCRs were square-root transformed to normalize the distribution.",NA,NA,"not reported","within","3","ANOVA","rmANOVA","15","Only experiments 2 and 3 included in sample size calculation (experiment 1: no fear conditioning, no physiology; experiment 4: no physiology)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ebrahimi C and Gechter J and Lueken U and Schlagenhauf F and Wittchen HU and Hamm AO and Ströhle A","2020","10.1038/s41386-019-0552-z","Augmenting extinction learning with D-cycloserine reduces return of fear: a randomized, placebo-controlled fMRI study.","Neuropsychopharmacology : official publication of the American College of           Neuropsychopharmacology","https://pubmed.ncbi.nlm.nih.gov/31634897/","Female;Humans;Male;Magnetic Resonance Imaging;Cycloserine;Photic Stimulation/methods;Magnetic Resonance Imaging/*methods;Conditioning, Classical/*drug effects/physiology;Extinction, Psychological/*drug effects/physiology;Fear/*drug effects/physiology/*psychology;Antimetabolites/pharmacology;Cycloserine/*pharmacology;Receptors, N-Methyl-D-Aspartate/agonists/physiology","no","no","no","no","CD","37","21","26.835","5.455","yes","both","study site as covariate","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"unclear, see comment",NA,NA,NA,"Afterwards, the skin conductance time series was band pass filtered (first-order Butterworth filter with cut-off frequencies of 0.05 Hz and 5 Hz), downsampled (10 Hz) and normalized to remove between-subject variance in response amplitudes [4]. ","yes, at least literature","Bach DR, Friston KJ, Dolan RJ. An improved algorithm for model-based analysis of evoked skin conductance responses. Biol Psychol. 2013;94:490–497. ","trial-level ","within","2","ANCOVA","other","15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"de Voogd LD and Murray YPJ and Barte RM and van der Heide A and Fernández G and Doeller CF and Hermans EJ","2020","10.1016/j.neuroimage.2019.116308","The role of hippocampal spatial representations in contextualization and generalization of fear.","NeuroImage","https://pubmed.ncbi.nlm.nih.gov/31669410/","Female;Humans;Male;Adult;Young Adult;Magnetic Resonance Imaging;Virtual Reality;Conditioning, Classical/*physiology;Fear/*physiology;Galvanic Skin Response/*physiology;Prefrontal Cortex/*physiology;Hippocampus/*physiology;Space Perception/physiology;Generalization, Psychological/*physiology;Spatial Behavior/*physiology;*Functional Neuroimaging;Support Vector Machine","no","no","no","no","CD","21","10","23.3","3.6","unclear","group",NA,"yes, because permutation test was applied when deviated; unclear what exactly was checked","unclear","not reported","not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqr, rc",NA,NA,NA,"All response amplitudes were square-root transformed and normalized according to each participant’s mean UCS response (Schiller et al., 2013) prior to statistical analysis.","yes, at least literature","Schiller et al., 2013","not reported","within","2","ANOVA","rmANOVA","15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Constantinou E and Purves KL and McGregor T and Lester KJ and Barry TJ and Treanor M and Craske MG and Eley TC","2021","10.1016/j.jbtep.2020.101618","Measuring fear: Association among different measures of fear learning.","Journal of behavior therapy and experimental psychiatry","https://pubmed.ncbi.nlm.nih.gov/33039814/","Female;Humans;Galvanic Skin Response;Male;Fear;Young Adult;Association Learning;Arousal;Fear/*psychology;*Extinction, Psychological;*Conditioning, Classical","no","no","no","no","CD","80",NA,NA,NA,"unclear","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"yes","subjects","Furthermore, four participants were excluded as extreme outliers: three participants provided the exact same US-expectancy rating across all trials at either acquisition or extinction (5 or 1) and one participant provided the exact same value at all affective ratings (9), as well as US-expectancy ratings between 5-7 at all extinction trials.",NA,NA,NA,NA,"rc, sqr",NA,NA,NA,"Each SCR was range-corrected using the individual’s maximum skin conductance response to the electric shock (US; Lykken & Venables, 1971). After range-correction, negative SCRs were coded as zero and then each SCR was square root transformed to normalize the data.","yes, at least literature","Lykken & Venables, 1971","trial-level ","within","2","ANOVA","rmANOVA","15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chen Y and Lin X and Ai S and Sun Y and Shi L and Meng S and Lu L and Shi J","2022","10.1016/j.bbr.2021.113714","Comparing three extinction methods to reduce fear expression and generalization.","Behavioural brain research","https://pubmed.ncbi.nlm.nih.gov/34906608/","Female;Humans;Male;Adult;Young Adult;Fear/*physiology;Recurrence;Extinction, Psychological/*physiology;*Conditioning, Psychological;Implosive Therapy;*Cues;Mental Recall/*physiology;*Generalization, Psychological/physiology","no","no","no","no","CD","64","38","21","2.24","unclear","group",NA,"not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt",NA,NA,NA,"values were square-root transformed to normalize the distribution [25]","yes, at least literature","D. Schiller, M.H. Monfils, C.M. Raio, D.C. Johnson, J.E. Ledoux, E.A. Phelps, Preventing the return of fear in humans using reconsolidation update mechanisms, Nature 463 (2010), 49-U51","not reported","mixed","2","ANOVA","rmANOVA","15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
