,,,,,,,,,,,,SAMPLE,SEX,AGE,,,,,REPORTING STANDARDS,,,,,,,,,,,,,,,,TRANSFORMATION,,,,,,,,,,,,,,,,,,
Morriss J,2019,10.1111/psyp.13396,What do I do now? Intolerance of uncertainty is associated with discrete patterns of anticipatory physiological responding to different contexts.,Psychophysiology,https://pubmed.ncbi.nlm.nih.gov/31111965/,"Female;Humans;Male;Adult;Young Adult;Electromyography;Extinction, Psychological/*physiology;Fear/physiology;Association Learning/*physiology;Galvanic Skin Response/*physiology;Anxiety/*physiopathology;*Uncertainty;Anticipation, Psychological/*physiology;Facial Muscles/*physiology;Decision Making/*physiology",no,no,no,no,CD,45,31,23,4.23,no,individual,"STAI, IU",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"sqrt, z",NA,NA,NA,not reported,yes,"SCR magnitudes were square root transformed to reduce skew and were z scored to control for interindividual differences in skin conductance responsiveness (Ben‐Shakhar, 1985)",not reported,within,2,mixed model,SCR Magnitude ~ Stimulus + (1 | Subject),4,also reported: EMG corrugator supercilii activity,
Marin MF and Barbey F and Rosenbaum BL and Hammoud MZ and Orr SP and Milad MR,2020,10.1111/psyp.13350,Absence of conditioned responding in humans: A bad measure or individual differences?,Psychophysiology,https://pubmed.ncbi.nlm.nih.gov/30758048/,"Female;Humans;Male;Adult;Young Adult;Brain Mapping;Magnetic Resonance Imaging;Conditioning, Classical/*physiology;Fear/*physiology;Humanism;Humanities;*Individuality;Galvanic Skin Response/*physiology;Amygdala/diagnostic imaging/*physiology;Cerebral Cortex/diagnostic imaging/*physiology;Gyrus Cinguli/diagnostic imaging/physiology",no,no,no,no,CD,109,NA,NA,NA,yes,group,NA,not reported,NA,NA,not reported,NA,yes,Greenhouse-Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,not reported,no,NA,trial-level,mixed,2,ANCOVA,other,4,Covariate: SCL = not reported if centered,
Merz CJ and Eichholtz A and Wolf OT,2020,10.1038/s41598-020-58977-6,Acute stress reduces out-group related safety signaling during fear reinstatement in women.,Scientific reports,https://pubmed.ncbi.nlm.nih.gov/32034214/,"Female;Humans;Galvanic Skin Response;Adolescent;Extinction, Psychological;Adult;Young Adult;Cues;Safety;Facial Expression;Blood Pressure;*Conditioning, Psychological;Stress, Psychological/physiopathology/*psychology;Fear/physiology/*psychology",yes,no,no,no,CD,57,57,NA,NA,unclear,group,NA,not reported,NA,NA,not reported,NA,yes,Greenhouse-Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,log,NA,NA,NA,not reported,no,NA,not reported,mixed,8,mixed ANOVA,ANOVA_univariat,4,,
Martynova O and Tetereva A and Balaev V and Portnova G and Ushakov V and Ivanitsky A,2020,10.1016/j.ijpsycho.2020.01.002,Longitudinal changes of resting-state functional connectivity of amygdala following fear learning and extinction.,International journal of psychophysiology : official journal of the International  Organization of Psychophysiology,https://pubmed.ncbi.nlm.nih.gov/31926905/,"Female;Humans;Time Factors;Male;Longitudinal Studies;Adolescent;Adult;Amygdala;Young Adult;Magnetic Resonance Imaging;Conditioning, Classical/*physiology;Fear/*physiology;Extinction, Psychological/*physiology;Amygdala/diagnostic imaging/*physiology;*Connectome",no,no,no,no,LD,43,14,25,3.88,unclear,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,"""SCRs were normalized for each participant""",no,NA,not reported,within,3,ANOVA,rmANOVA,4,interesting: normality was checked for another (self-reported) variable (KS-test),
Morriss J and Wake S and Lindner M and McSorley E and Dodd H,2020,10.1016/j.ijpsycho.2020.04.012,How many times do I need to see to believe? The impact of intolerance of uncertainty and exposure experience on safety-learning and retention in young adults.,International journal of psychophysiology : official journal of the International  Organization of Psychophysiology,https://pubmed.ncbi.nlm.nih.gov/32320712/,"Female;Humans;Male;Adolescent;Adult;Young Adult;Galvanic Skin Response/physiology;*Association;Fear/physiology;*Safety;Retention, Psychology/*physiology;*Uncertainty;Anticipation, Psychological/physiology;Pupil/physiology",no,no,no,yes,CD,144,86,23.99,4.42,no,individual,"STICSA, IU",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"sqrt, z",NA,NA,z,SCR: not reported; pupil size: pupil dilation data were z-scored (across conditions and phases),SCR: yes; pupil size: yes,"SCR: Ben-Shakhar, 1985; pupil size: Leuchs et al., 2019",not reported,mixed,8,mixed models,SCR Magnitude ~ Condition + Stimulus + (1 | Subject),4,,
Ney LJ and Laing PAF and Steward T and Zuj DV and Dymond S and Felmingham KL,2020,10.1111/psyp.13650,Inconsistent analytic strategies reduce robustness in fear extinction via skin conductance response.,Psychophysiology,https://pubmed.ncbi.nlm.nih.gov/32748977/,"Humans;Adult;Skin;Conditioning, Classical/*physiology;Fear/*physiology;Extinction, Psychological/*physiology;Galvanic Skin Response/*physiology;Datasets as Topic;*Data Interpretation, Statistical;Psychophysiology/methods/*standards",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"only resampled data, no sample specifications asf - exclude?",
McClay M and Hennings AC and Reidel A and Dunsmoor JE,2020,10.1016/j.neuropsychologia.2020.107653,Generalization of conditioned fear along a dimension of increasing positive valence.,Neuropsychologia,https://pubmed.ncbi.nlm.nih.gov/33049257/,"Humans;Fear;Retrospective Studies;Arousal;*Conditioning, Classical;*Generalization, Psychological",no,no,no,no,CD,40,29,25.3,3.23,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,not reported,no,NA,not reported,mixed,2,ANOVA,ANOVA_univariat,4,mixed ANOVA,
Marstaller L and Fynes-Clinton S and Burianová H and Reutens DC,2021,10.1002/hbm.25199,Salience and default-mode network connectivity during threat and safety processing in older adults.,Human brain mapping,https://pubmed.ncbi.nlm.nih.gov/32936998/,"Female;Humans;Male;Adult;Young Adult;Aged;Middle Aged;Safety;Conditioning, Classical/*physiology;Fear/*physiology;Aged, 80 and over;Galvanic Skin Response/*physiology;Cerebral Cortex/diagnostic imaging/*physiology;*Connectome;Default Mode Network/diagnostic imaging/*physiology;Nerve Net/diagnostic imaging/*physiology",no,no,no,no,CD,28,NA,NA,NA,not reported,both,age,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,not reported,no,NA,not reported,mixed,2,ANOVA,ANOVA_univariat,4,mixed ANOVA,
Ney LJ and Vicario CM and Nitsche MA and Felmingham KL,2021,10.1016/j.nlm.2020.107356,Timing matters: Transcranial direct current stimulation after extinction learning impairs subsequent fear extinction retention.,Neurobiology of learning and memory,https://pubmed.ncbi.nlm.nih.gov/33278591/,"Female;Humans;Time Factors;Galvanic Skin Response;Male;Adult;Young Adult;Fear/*physiology/psychology;*Extinction, Psychological/physiology;*Retention, Psychology/physiology;*Transcranial Direct Current Stimulation/methods",no,no,no,no,CD,30,NA,NA,NA,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,not reported,no,NA,not reported,mixed,7,mixed model,SCR ~ Stimulus * Condition + Trial + (1 | Subject),4,,
Mertens G and Morriss J,2021,10.1016/j.brat.2020.103799,Intolerance of uncertainty and threat reversal: A conceptual replication of Morriss et al. (2019).,Behaviour research and therapy,https://pubmed.ncbi.nlm.nih.gov/33418469/,"Humans;Cues;Reflex, Startle;Uncertainty;*Galvanic Skin Response;*Fear",yes,no,no,yes,CD,108,NA,NA,NA,not reported,both,"STAI, IU",not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,t,"rc, sqrt",NA,NA,NA,SCR: Skin conductance values were range corrected using the largest response for each participant and square root transformed to normalize the data,SCR: yes,"SCR: Dawson, Schell, Filion, & Berntson, 2007",not reported,mixed,3,mixed model,SCR/FPS ~ Cs Type * Instruction + IUS + STAI_T + (1 | Subject),4,,
Ney LJ and Matthews A and Nicholson E and Zuj D and Ken Hsu CM and Steward T and Graham B and Harrison B and Nichols D and Felmingham K,2021,10.1016/j.brat.2021.103942,BDNF genotype Val66Met interacts with acute plasma BDNF levels to predict fear extinction and recall.,Behaviour research and therapy,https://pubmed.ncbi.nlm.nih.gov/34340176/,"Humans;Galvanic Skin Response;Brain;Brain-Derived Neurotrophic Factor;Genotype;*Extinction, Psychological;*Fear;*Brain-Derived Neurotrophic Factor/blood/genetics/metabolism",no,no,no,no,CD,246,141,NA,NA,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,yes,not reported,outlying values (more than 3 standard deviations from the mean) were replaced (i.e. winsorized) with values within 3 standard deviations,NA,NA,NA,NA,sqrt,NA,NA,NA,not reported,no,NA,not reported,mixed,4,mixed model,SCR ~ Trial * Stimulus * Genotype + Ethnicity + (1 | Subject),4,,
Litwin P and Motyka P and Gayet S,2024,10.1037/emo0001296,Physiological arousal underlies preferential access to visual awareness of fear-conditioned (and possibly disgust-conditioned) stimuli.,"Emotion (Washington, D.C.)",https://pubmed.ncbi.nlm.nih.gov/37768570/,"Humans;Conditioning, Classical;Arousal;Arousal/physiology;Emotions/physiology;Fear/psychology;*Disgust",yes,yes,yes,yes,CD,60,NA,NA,NA,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"log, z",NA,NA,NA,log (SCR + 1),yes,"Dawson et al., 2017; Ben-Shakhar, 1985",not reported,within,2,unclear,unclear,4,Manipulation check: Successful conditioning was confirmed by the presence of electrodermal response (mean standardized SCR . 0) in all of the participants: M = 1.28 μs; SD = 0.52 μs.,
