co,,,,,,,,,,,,SAMPLE,SEX,AGE,,,,,REPORTING STANDARDS,,,,,,,,,,,,,,,,TRANSFORMATION,,,,,,,,,,,,,,,,,
Author,year,doi,title,journal,url,keywords,"open data (yes, no)","open code (yes, no)","open material (yes, no)",preregistration yes/no,"longitudinal design (LD), cross-sectional design (CD), unclear",n_with_exclusions,n_female_total,age_mean_total,age_sd_total,"mental health disorder exclusion (yes, no, unclear, not reported, only control group, partially)","Was an individual level analysis conducted in the study? group/ individual level analysis, both","If an individual level analysis was conducted in the study, what was the variable of interest? (e.g. sex/ gender, STAI, IUS, BDI, multiple)","Was the normal distribution checked? answers: dependent variable, independent variable, residuals, mixed, not reported","If yes, how? (e.g., specific test or visually), if no: NA","If yes, was the normal distribution tested before or after transformation procedure? answers: before, after, both, not reported. if no: NA","Was the homoscedasticity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the sphericity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the independence of residuals checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the linearity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA","Was the multicollinearity checked? answers: yes, not reported","If yes, how?   (e.g., specific test or visually), if no: NA","outlier removal reported? yes, no (this refers to quantitative measures such as +/-3SD and not qualitative ones (artifacts, zero responses)","outlier refer to: subjects, trials, both, NA, not reported","outlier criterion (e.g., +/- 2SD; this refers to quantitative measures such as +/-2SD and not qualitative ones (artifacts, zero responses)",HR (BPM),HRV,EMG orbicularis oculi,EMG startle,SCR,SCL,EYE tracking,PUPIL SIZE,"specification of data transformation method (e.g. range correction formula), not reported (if there are multiple different specifications for multiple outcome measures, extract them all)",is there a rationale for specific data transformation procedure (e.g. guideline)? yes/ no,which rationale? (e.g. guideline/ ref/ not reported),"was the transformation applied (AND EXPLICITELY STATED IN THE METHODS SECTION) on trial level or on an average-level (across trials)/ other/ or not reported (if this is done differently for various outcome measures, indicate it)","Stastistical model: within, between or mixed design? (e.g., paired t-test = within, independent t-test = between)","If within or mixed: how many within factor levels (of largest within factor)? (e.g., two different CS stimuli = two within factors)","Main statistical test: t-test, AN(C)OVA, correlation, regression, mixed model, other (ask Perplexity.ai with copy pasting info from the method section)","Main statistical test: further specification (e.g., non-parametric test), if ANCOVA: centered covariate?, if mixed model: paste formula here, of other: name of test (e.g. chi-squared, MANOVA)",reviewer_ID,comment
Winkelmann T and Grimm O and Pohlack ST and Nees F and Cacciaglia R and Dinu-Biringer R and Steiger F and Wicking M and Ruttorf M and Schad LR and Flor H,2016,10.1007/s00429-015-1013-z,Brain morphology correlates of interindividual differences in conditioned fear acquisition and extinction learning.,Brain structure & function,https://pubmed.ncbi.nlm.nih.gov/25716297/,"*Individuality;Adult;Amygdala/*anatomy & histology/physiology;Brain;Brain/anatomy & histology/physiology;Conditioning, Classical/*physiology;Extinction, Psychological/*physiology;Fear/*physiology;Female;Galvanic Skin Response;Humans;Magnetic Resonance Imaging;Male;Prefrontal Cortex/*anatomy & histology/physiology;Young Adult",no,no,no,no,CD,81,NA,NA,NA,yes,both,STAI-T,not reported,NA,NA,not reported,NA,yes,Greenhouse-Geisser correction,not reported,NA,not reported,NA,not reported,NA,yes,trials,"Outliers within subjects (trials with SCRs [3 SD above the individual mean SCR, 2.5 % of the trials) were replaced with the individual mean of the respective conditioning phase",NA,NA,NA,NA,"rc, log",NA,NA,NA,range corrected (individual score/individual maximum conditioned score); log transformed [ln (1 + SCR)],yes,range correction: to correct for interindividual variability in responsiveness (Lykken  and Venables 1971); log transformation: to account for a non-normal distribution (Venables and Christie 1980),not reported,mixed,4,mixed,ANOVA_univariat,4,
Wiggert N and Wilhelm FH and Boger S and Georgii C and Klimesch W and Blechert J,2017,10.1093/scan/nsw128,Social Pavlovian conditioning: Short- and long-term effects and the role of anxiety and depressive symptoms.,Social cognitive and affective neuroscience,https://pubmed.ncbi.nlm.nih.gov/27614767/,"*Social Behavior;Adult;Anxiety;Anxiety Disorders/*physiopathology/*psychology;Arousal/physiology;Autonomic Nervous System/physiopathology;Brain/*physiopathology;Conditioning, Classical/*physiology;Depression;Depressive Disorder, Major/*physiopathology/*psychology;Evoked Potentials/physiology;Facial Expression;Facial Recognition/physiology;Female;Follow-Up Studies;Humans;Individuality;Male;Reinforcement, Psychology;Social Learning/*physiology;Time",no,no,no,no,CD,59,40,25.12,3.36,yes,both,"STAI-T, STDS",not reported,NA,NA,not reported,NA,yes,Greenhouse-Geisser correction,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,not reported,NA,NA,NA,NA,not reported,NA,NA,NA,no,NA,NA,within,16,ANOVA,rmANOVA,4,still missing here: EMG: corrugator supercilii muscle
Zbozinek TD and Craske MG,2017,10.1080/02699931.2016.1142428,Positive affect predicts less reacquisition of fear: relevance for long-term outcomes of exposure therapy.,Cognition & emotion,https://pubmed.ncbi.nlm.nih.gov/26907670/,"*Affect;*Conditioning, Classical;*Extinction, Psychological;*Fear;Female;Galvanic Skin Response;Humans;Male;Young Adult",no,no,no,no,CD,62,NA,NA,NA,yes,both,PANAS,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"rc, sqrt",NA,NA,NA,SCR was range-corrected by dividing by the largest SCR perparticipant across both days,yes,"sqrt: to normalisethe data (Zbozinek, Holmes, et al., 2015)",not reported,NA,NA,growth curve models with multilevel modelling,other,4,model by ChatGPT: Fear_Response_ij = π0j + π1j*(Trial_ij) + π2j*(Trial_ij^2) + π3j*(CS_Type_ij) + e_ij
Zaman J and Madden VJ and Iven J and Wiech K and Weltens N and Ly HG and Vlaeyen JWS and Van Oudenhove L and Van Diest I,2017,10.1016/j.jpain.2017.04.011,Biased Intensity Judgements of Visceral Sensations After Learning to Fear Visceral Stimuli: A Drift Diffusion Approach.,The journal of pain,https://pubmed.ncbi.nlm.nih.gov/28533182/,"*Fear;*Learning;*Pain Perception;Acoustic Stimulation;Analysis of Variance;Bias (Epidemiology);Computer Simulation;Decision Making;Electric Stimulation;Esophagus;Female;Humans;Judgment;Male;Psychological Tests;Reaction Time;Reflex, Startle;Software;Visceral Pain/*psychology;Young Adult",no,no,no,no,CD,86,NA,NA,NA,yes,group,NA,not reported,NA,NA,not reported,NA,yes,Greenhouse-Geisser correction,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,t,log,NA,NA,NA,SCR: (log 10 [1 + GSR]),no,NA,SCR: not reported; Startle: trial level,mixed,3,mixed ANOVA,ANOVA_univariat,4,
Wong AHK and Lovibond PF,2017,10.1016/j.biopsycho.2017.08.056,Rule-based generalisation in single-cue and differential fear conditioning in humans.,Biological psychology,https://pubmed.ncbi.nlm.nih.gov/28865934/,"*Cues;Conditioning, Psychological/*physiology;Cues;Fear/*physiology;Female;Galvanic Skin Response;Generalization, Stimulus/*physiology;Humanism;Humanities;Humans;Learning;Male;Young Adult",no,no,no,no,CD,139,86,19.3,3.7,not reported,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,log,NA,NA,NA,not reported,no,NA,trial level,NA,NA,not reported,NA,4,
Vieira JB and Wen S and Oliver LD and Mitchell DGV,2017,10.1007/s00221-017-5064-7,Enhanced conscious processing and blindsight-like detection of fear-conditioned stimuli under continuous flash suppression.,Experimental brain research,https://pubmed.ncbi.nlm.nih.gov/28815269/,"*Facial Expression;Adult;Awareness/*physiology;Conditioning, Classical/*physiology;Facial Recognition/*physiology;Fear/*physiology;Female;Humans;Male;Young Adult",no,no,no,no,CD,54,NA,NA,NA,yes,group,NA,not specified,Kolmogorov–Smirnov test,not reported,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,yes,subjects,cases with a Mahalanobis Distance (D2) with probability <0.001 were identified as bivariate outliers,NA,NA,NA,NA,sqrt,NA,NA,NA,Mean SCR values for CS+ and CS− were calculated and normalised using a square root transformation,no,NA,Mean SCR values for CS+ and CS− were calculated and normalised using a square root transformation,within,2,paired t-test,ttest,4,
Zidda F and Andoh J and Pohlack S and Winkelmann T and Dinu-Biringer R and Cavalli J and Ruttorf M and Nees F and Flor H,2018,10.1016/j.neuroimage.2017.10.024,Default mode network connectivity of fear- and anxiety-related cue and context conditioning.,NeuroImage,https://pubmed.ncbi.nlm.nih.gov/29050910/,"Adolescent;Adult;Anxiety;Anxiety/*physiopathology;Brain/*physiology;Conditioning, Classical/*physiology;Cues;Fear/*physiology;Female;Humans;Learning/physiology;Male;Neural Pathways/*physiology;Rest;Young Adult",no,no,no,no,CD,122,35,21.77,2.95,yes,both,STAI-T,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,log,NA,NA,NA,[ln(1 + SCR)].,no,NA,not reported,within,2,paired t-test,ttest,4,
Zbozinek TD and Craske MG,2018,10.1016/j.brat.2018.05.009,"Pavlovian extinction of fear with the original conditional stimulus, a generalization stimulus, or multiple generalization stimuli.",Behaviour research and therapy,https://pubmed.ncbi.nlm.nih.gov/29879536/,"Adolescent;Adult;Anxiety Disorders/psychology/therapy;Conditioning, Classical/*physiology;Extinction, Psychological/*physiology;Fear/*psychology;Female;Galvanic Skin Response/physiology;Generalization, Psychological/*physiology;Humans;Implosive Therapy;Male;Reflex, Startle/physiology;Young Adult",no,no,no,no,CD,131,NA,NA,NA,not reported,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,t,not reported,NA,NA,NA,EMG data were then transformed into a within-subjects t-score using responses to all CSs/GSs and ITIs across both days,no,NA,not reported,within,7,mixed model,"startle reflex/SCR ~ level 1 predictors included CS Type (CS+, CS-), Linear Slope  (Trials 1–7), and Quadratic Slope (Trials 1–7). For extinction, level 1 predictors included CS Type (CS+/Single_GS/Extinction GSs, CS-), Linear Slope (Trials 1–9), and Quadratic Slope (Trials 1–9)",4,
Yoshiike T and Honma M and Yamada N and Kim Y and Kuriyama K,2018,10.1016/j.physbeh.2018.06.015,"Effects of bright light exposure on human fear conditioning, extinction, and associated prefrontal activation.",Physiology & behavior,https://pubmed.ncbi.nlm.nih.gov/29913227/,"*Phototherapy/methods;Cerebrovascular Circulation/physiology;Conditioning, Psychological/*physiology;Extinction, Psychological/*physiology;Fear/*physiology;Female;Galvanic Skin Response/physiology;Humanism;Humanities;Humans;Male;Mental Recall/physiology;Photic Stimulation;Prefrontal Cortex/diagnostic imaging/*physiology;Single-Blind Method;Spectroscopy, Near-Infrared;Time Factors;Visual Perception/*physiology;Young Adult",no,no,no,no,CD,29,10,21.7,NA,unclear,group,NA,not reported,NA,NA,not reported,NA,yes,Greenhouse-Geisser correction,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,raw,NA,NA,NA,not reported,no,NA,not reported,mixed,6,mixed ANOVA,ANOVA_univariat,4,
Zaman J and Wiech K and Claes N and Van Oudenhove L and Van Diest I and Vlaeyen JWS,2018,10.1097/PSY.0000000000000586,The Influence of Pain-Related Expectations on Intensity Perception of Nonpainful Somatosensory Stimuli.,Psychosomatic medicine,https://pubmed.ncbi.nlm.nih.gov/29620561/,"Adult;Anticipation, Psychological/*physiology;Conditioning, Classical/*physiology;Decision Making/*physiology;Electric Stimulation;Fear/physiology;Female;Humans;Male;Pain Perception/*physiology;Pain/*physiopathology;Proprioception/*physiology;Reinforcement, Psychology;Touch Perception/*physiology;Young Adult",yes,no,no,no,CD,40,36,23.91,5.56,unclear,group,NA,not reported,NA,NA,not reported,NA,yes,Greenhouse-Geisser correction,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,t,NA,NA,NA,NA,not reported,no,NA,not reported,within,3,ANOVA,rmANOVA,4,
Xia Y and Gurkina A and Bach DR,2019,10.1101/lm.049338.119,Pavlovian-to-instrumental transfer after human threat conditioning.,"Learning & memory (Cold Spring Harbor, N.Y.)",https://pubmed.ncbi.nlm.nih.gov/31004041/,"*Conditioning, Classical;*Conditioning, Operant;*Transfer, Psychology;Adult;Avoidance Learning;Cues;Electrocardiography;Electroshock;Fear/physiology/*psychology;Female;Galvanic Skin Response;Humanism;Humanities;Humans;Male;Psychophysics;Reward;Young Adult",no,no,no,no,CD,22,NA,NA,NA,unclear,group,NA,not reported,NA,NA,not reported,NA,yes,Greenhouse-Geisser correction,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,not reported,NA,NA,not reported,NA,no,NA,NA,within,2,paired t-test,ttest,4,"Experiment 1; ""Data shown in the text are nonnormalized estimates"" = raw scores?"
Xia Y and Gurkina A and Bach DR,2019,10.1101/lm.049338.120,Pavlovian-to-instrumental transfer after human threat conditioning.,"Learning & memory (Cold Spring Harbor, N.Y.)",https://pubmed.ncbi.nlm.nih.gov/31004041/,"*Conditioning, Classical;*Conditioning, Operant;*Transfer, Psychology;Adult;Avoidance Learning;Cues;Electrocardiography;Electroshock;Fear/physiology/*psychology;Female;Galvanic Skin Response;Humanism;Humanities;Humans;Male;Psychophysics;Reward;Young Adult",no,no,no,no,CD,38,NA,NA,NA,unclear,group,NA,not reported,NA,NA,not reported,NA,yes,Greenhouse-Geisser correction,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,not reported,NA,NA,NA,not reported,NA,NA,not reported,NA,no,NA,NA,within,2,paired t-test,ttest,4,Experiment 2
Vandael K and Meulders M and Vanden Boer C and Meulders A,2019,10.1515/sjpain-2019-0065,The relationship between fear generalization and pain modulation: an investigation in healthy participants.,Scandinavian journal of pain,https://pubmed.ncbi.nlm.nih.gov/31433787/,"*Chronic Pain;*Healthy Volunteers;Adult;Conditioning, Classical/*physiology;Fear/*physiology;Female;Humans;Male;Reflex, Startle/*physiology",no,no,no,no,CD,50,34,27,9,unclear,both,"STAI-T, PANAS, FPQ, PCS",not reported,NA,NA,not reported,NA,not reported,Greenhouse-Geisser correction,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,"z, t",NA,NA,NA,NA,not reported,no,NA,trial level,within,3,ANOVA,rmANOVA,4,"When appropriate, GreenhouseGeisser corrections [32] are reported = sphericity checked?"
Wendt J and Hufenbach MC and König J and Hamm AO,2020,10.1038/s41598-020-57934-7,Effects of verbal instructions and physical threat removal prior to extinction training on the return of conditioned fear.,Scientific reports,https://pubmed.ncbi.nlm.nih.gov/31988311/,"*Extinction, Psychological;*Reinforcement, Verbal;Adolescent;Adult;Ankle;Anxiety/*therapy;Electrocardiography;Electrodes;Electromyography;Fear/*psychology;Female;Galvanic Skin Response;Heart Rate;Humans;Male;Physical Stimulation/methods;Precision Medicine/methods;Young Adult",no,no,no,no,CD,126,NA,NA,NA,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,"z, t","sqrt, rc",NA,NA,NA,EMG: [50 + (z × 10)]; SCR: range-corrected based on the maximum SCR (including both CRs and URs),no,NA,not reported,mixed,12,mixed model,"startle EMG/SCR ~ fixed effects trial type (CS+ vs. CS- vs. ITI), instruction group (VIE vs. VIE+ R vs. UE), trial number (trials 1 to 12)",4,
Zimmermann J and Bach DR,2020,10.1101/lm.050211.119,Impact of a reminder/extinction procedure on threat-conditioned pupil size and skin conductance responses.,"Learning & memory (Cold Spring Harbor, N.Y.)",https://pubmed.ncbi.nlm.nih.gov/32179658/,"Adolescent;Adult;Autonomic Nervous System/physiology;Conditioning, Classical/*physiology;Extinction, Psychological/*physiology;Fear/*physiology;Female;Galvanic Skin Response/*physiology;Humans;Male;Memory Consolidation/*physiology;Pupil;Pupil/*physiology;Skin;Young Adult",yes,no,no,no,CD,74,NA,NA,NA,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,z,NA,NA,raw,z-scored within participants,no,NA,not reported,within,40,mixed model,"amplitude 1 + condition × time, random = 1| subj.",4,
Zenses AK and Lenaert B and Peigneux P and Beckers T and Boddez Y,2020,10.1111/jsr.12873,Sleep deprivation increases threat beliefs in human fear conditioning.,Journal of sleep research,https://pubmed.ncbi.nlm.nih.gov/31206861/,"Adolescent;Adult;Conditioning, Classical/*physiology;Fear/*psychology;Female;Humanism;Humanities;Humans;Male;Sleep Deprivation;Sleep Deprivation/*complications/psychology;Young Adult",no,no,no,no,CD,40,NA,21.75,3.39,yes,group,NA,not reported,NA,NA,not reported,NA,yes,Greenhouse-Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"rc, log",NA,NA,NA,all SCR values were range-corrected within participants (i.e. participants’ SCRs  for days 1 and 2 were divided by the highest SCR value during day 1  for each participant) and then log10(SCR + 1)-transformed,no,NA,not reported,mixed,8,mixed ANOVA,ANOVA_univariat,4,
Wong AHK and Pittig A,2020,10.1016/j.brat.2020.103606,Costly avoidance triggered by categorical fear generalization.,Behaviour research and therapy,https://pubmed.ncbi.nlm.nih.gov/32224325/,"*Reward;Adolescent;Adult;Anxiety Disorders/*physiopathology;Avoidance Learning/*physiology;Conditioning, Classical/*physiology;Fear/*physiology;Female;Generalization, Psychological/*physiology;Humans;Male;Young Adult",no,no,no,no,CD,64,NA,NA,NA,not reported,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,not reported,yes,"SCRs were square root transformed to obtain normal distribution (Boucsein et al., 2012)",not reported,between,NA,planned contrasts,other,4,"For acquisition, three orthogonal repeated measures contrasts were used. First, the averaged responding to CS+ was compared to those to CS- in both expectancy ratings and skin conductance. Second, responding to the CSs in the second block was compared to the first block to examine whether there were any differences in responding between blocks. Third, the interaction of these two contrasts (CS type and Block) examined the development of differential responding to the CSs. These analyses served as a manipulation check for successful acquisition of conditioned fear in both groups."
Wanke N and Schwabe L,2020,10.1093/scan/nsaa074,Dissociable neural signatures of passive extinction and instrumental control over threatening events.,Social cognitive and affective neuroscience,https://pubmed.ncbi.nlm.nih.gov/32507874/,"Adult;Amygdala/diagnostic imaging/*physiology;Avoidance Learning/physiology;Brain Mapping/methods;Conditioning, Operant/*physiology;Extinction, Psychological/*physiology;Fear/*physiology;Female;Galvanic Skin Response/physiology;Heart Block;Humans;Magnetic Resonance Imaging/methods;Male;Prefrontal Cortex/diagnostic imaging/*physiology;Young Adult",no,no,no,no,CD,75,NA,NA,NA,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,not reported,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,4,"sample for SCR analyses was not reported; no main effect of task for the ""uncontrollability group"" reported"
Zenses AK and Lee JC and Plaisance V and Zaman J,2021,10.1016/j.brat.2020.103777,Differences in perceptual memory determine generalization patterns.,Behaviour research and therapy,https://pubmed.ncbi.nlm.nih.gov/33271392/,"*Conditioning, Classical;*Generalization, Psychological;Fear;Humans;Memory;Reflex, Startle;Uncertainty",yes,no,no,yes,CD,41,NA,NA,NA,yes,group,NA,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,t,NA,NA,NA,NA,NA,no,NA,not reported,within,20,mixed model,"Startle eyeblink responses were expressed as difference scores from baseline responding (i.e., noise alone trials) and were tested across all trials (Fixed effect: intercept, Random effect: subject-dependent intercept)",4,"no differential conditioning paradigm?! no CS-, only GSs?"
You Y and Brown J and Li W,2021,10.1523/JNEUROSCI.2325-20.2021,Human Sensory Cortex Contributes to the Long-Term Storage of Aversive Conditioning.,The Journal of neuroscience : the official journal of the Society for  Neuroscience,https://pubmed.ncbi.nlm.nih.gov/33622774/,"Avoidance Learning/*physiology;Conditioning, Psychological/*physiology;Electroencephalography/methods;Evoked Potentials, Visual/*physiology;Fear/*physiology/psychology;Female;Humanism;Humanities;Humans;Male;Memory, Long-Term/*physiology;Nerve Net/physiology;Photic Stimulation/methods;Somatosensory Cortex/*physiology;Young Adult",no,no,no,no,CD,52,30,19.5,NA,yes,both,BIS,not reported,NA,NA,not reported,NA,yes,Greenhouse-Geisser,not reported,NA,not reported,NA,not reported,NA,yes,not reported,"greater than third quartile + 1.5 x interquartile range (IQR), or less than first quartile - 1.5 x IQR",NA,NA,NA,NA,z,NA,NA,NA,NA,no ,NA,not reported,within,2,ANCOVA,other,4,text does not mention centering of the covariate (BIS score)
Wiemer J and Leimeister F and Pauli P,2021,10.1093/scan/nsab015,Subsequent memory effects on event-related potentials in associative fear learning.,Social cognitive and affective neuroscience,https://pubmed.ncbi.nlm.nih.gov/33522590/,"Adult;Conditioning, Classical/*physiology;Evoked Potentials;Fear/*physiology;Humans;Memory/*physiology",no,no,no,no,CD,48,NA,NA,NA,yes,group,NA,not reported,NA,NA,not reported,NA,yes,Greenhouse-Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"log, z",NA,NA,NA,relates to both transformations (or unclear): in order to compensate for skewness in SCR distributions and inter-individual variability of SCR amplitudes ,yes,"Cacioppo et al., 2007",not reported,within,2,ANOVA,rmANOVA,4,transformation information was only in the supplement
Wang Y and Zhu Z and Hu J and Schiller D and Li J,2021,10.1038/s42003-021-02120-2,Active suppression prevents the return of threat memory in humans.,Communications biology,https://pubmed.ncbi.nlm.nih.gov/34021234/,"*Inhibition, Psychological;Adult;Association Learning/*physiology;Fear/*physiology;Female;Humanism;Humanities;Humans;Male;Memory;Memory/*physiology;Young Adult",yes,yes,no,no,CD,90,44,22.2,2.59,unclear,both,TCAQ,not reported,NA,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,"rc, sqrt",NA,NA,NA,raw SCR were divided by each subject’s mean US responses and then square root transformed to normalize distributions,no,NA,not reported,mixed,10,mixed ANOVA,ANOVA_univariat,4,"2 experiments, n summed up"
Waters AM and Ryan KM and Luck CC and Craske MG and Lipp OV,2023,10.1016/j.brat.2023.104357,Approximating exposure therapy in the lab: Replacing the CS+ with a similar versus a different stimulus and including additional stimuli resembling the CS+ during extinction.,Behaviour research and therapy,https://pubmed.ncbi.nlm.nih.gov/37364363/,"*Implosive Therapy;Animals;Conditioning, Classical/physiology;Dogs;Extinction, Psychological/physiology;Fear/physiology;Galvanic Skin Response;Humans",no,no,no,no,CD,128,107,22.39,5.78,not reported,group,NA,not reported,NA,NA,not reported,NA,not reported,Greenhouse-Geisser,not reported,NA,not reported,NA,not reported,NA,no,NA,NA,NA,NA,NA,NA,sqrt,NA,NA,NA,"Skin conductance responses were square root transformed to normalise the distribution (Venables & Christie, 1980), averaged across four trials for each CS",yes,"(Venables & Christie, 1980)",not reported,mixed,3,mixed ANOVA,ANOVA_univariat,4,
